cidade;comarca;regiao;populacao
SANTO ANDRÉ;SANTO ANDRÉ;GRANDE SÃO PAULO;676407
SANTOS;SANTOS;SANTOS;419400
SANTO ANTôNIO DO PINHAL;SÃO BENTO DO SAPUCAÍ;TAUBATÉ;6486
SÃO BENTO DO SAPUCAÍ;SÃO BENTO DO SAPUCAÍ;TAUBATÉ;10468
SÃO BERNARDO DO CAMPO;SÃO BERNARDO DO CAMPO;GRANDE SÃO PAULO;765463
SÃO CAETANO DO SUL;SÃO CAETANO DO SUL;GRANDE SÃO PAULO;149263
SÃO CARLOS;SÃO CARLOS;RIBEIRÃO PRETO;221950
ÁGUAS DA PRATA;SÃO JOÃO DA BOA VISTA;CAMPINAS;7584
SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;CAMPINAS;83639
SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;FRANCA;46512
SÃO JOSÉ DO RIO PARDO;SÃO JOSÉ DO RIO PARDO;RIBEIRÃO PRETO;51900
MONTEIRO LOBATO;SÃO JOSÉ DOS CAMPOS;TAUBATÉ;4120
SÃO JOSÉ DOS CAMPOS;SÃO JOSÉ DOS CAMPOS;TAUBATÉ;629921
SÃO LUís DO PARAITINGA;SÃO LUÍS DO PARAITINGA;TAUBATÉ;10397
LAGOINHA;SÃO LUIZ DO PARAITINGA;TAUBATÉ;4841
SÃO MIGUEL ARCANJO;SÃO MIGUEL ARCANJO;SOROCABA;31450
SÃO PAULO;SÃO PAULO;CAPITAL;11253503
ÁGUAS DE SÃO PEDRO;SÃO PEDRO;PIRACICABA;2707
SANTA MARIA DA SERRA;SÃO PEDRO;PIRACICABA;5413
SÃO PEDRO;SÃO PEDRO;PIRACICABA;31662
ARAÇARIGUAMA;SÃO ROQUE;SOROCABA;17080
SÃO ROQUE;SÃO ROQUE;SOROCABA;78821
SÃO SEBASTIÃO;SÃO SEBASTIÃO;TAUBATÉ;73942
DIVINOLÂNDIA;SÃO SEBASTIÃO DA GRAMA;RIBEIRÃO PRETO;11208
SÃO SEBASTIÃO DA GRAMA;SÃO SEBASTIÃO DA GRAMA;RIBEIRÃO PRETO;12099
LUís ANTôNIO;SÃO SIMÃO;RIBEIRÃO PRETO;11286
SÃO SIMÃO;SÃO SIMÃO;RIBEIRÃO PRETO;14346
SÃO VICENTE;SÃO VICENTE;SANTOS;332445
SERRA NEGRA;SERRA NEGRA;CAMPINAS;26387
SERRANA;SERRANA;RIBEIRÃO PRETO;38878
BARRINHA;SERTÃOZINHO;RIBEIRÃO PRETO;28496
DUMONT;SERTÃOZINHO;RIBEIRÃO PRETO;8143
SERTÃOZINHO;SERTÃOZINHO;RIBEIRÃO PRETO;110074
SOCORRO;SOCORRO;CAMPINAS;36686
ARAÇOIABA DA SERRA;SOROCABA;SOROCABA;27299
SOROCABA;SOROCABA;SOROCABA;586625
SUMARÉ;SUMARÉ;CAMPINAS;241311
SUZANO;SUZANO;GRANDE SÃO PAULO;262480
TABOÃO DA SERRA;TABOÃO DA SERRA;GRANDE SÃO PAULO;244528
TAMBAÚ;TAMBAÚ;RIBEIRÃO PRETO;22406
CÂNDIDO RODRIGUES;TAQUARITINGA;RIBEIRÃO PRETO;2668
FERNANDO PRESTES;TAQUARITINGA;RIBEIRÃO PRETO;5534
SANTA ERNESTINA;TAQUARITINGA;RIBEIRÃO PRETO;5568
TAQUARITINGA;TAQUARITINGA;RIBEIRÃO PRETO;53988
CAPELA DO ALTO;TATUÍ;SOROCABA;17532
CESÁRIO LANGE;TATUÍ;SOROCABA;15540
QUADRA;TATUÍ;SOROCABA;3236
TATUÍ;TATUÍ;SOROCABA;107326
REDENÇÃO DA SERRA;TAUBATÉ;TAUBATÉ;3873
TAUBATÉ;TAUBATÉ;TAUBATÉ;278686
JUMIRIM;TIETÊ;SOROCABA;2798
TIETÊ;TIETÊ;SOROCABA;36835
TREMEMBÉ;TREMEMBÉ;TAUBATÉ;40984
UBATUBA;UBATUBA;TAUBATÉ;78801
VALINHOS;VALINHOS;CAMPINAS;106793
BENTO DE ABREU;VALPARAÍSO;ARAÇATUBA;2674
VALPARAÍSO;VALPARAÍSO;ARAÇATUBA;22576
VARGEM GRANDE DO SUL;VARGEM GRANDE DO SUL;CAMPINAS;39266
VARGEM GRANDE PAULISTA;VARGEM GRANDE PAULISTA;GRANDE SÃO PAULO;42997
VÁRZEA PAULISTA;VÁRZEA PAULISTA;CAMPINAS;107089
VINHEDO;VINHEDO;CAMPINAS;63611
TERRA ROXA;VIRADOURO;RIBEIRÃO PRETO;8505
VIRADOURO;VIRADOURO;RIBEIRÃO PRETO;17297
VOTORANTIM;VOTORANTIM;SOROCABA;108809
